Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","23","Belize","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","7119.1","X","International reliable sources",""
"FS","Suite of Food Security Indicators","23","Belize","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","0.19","X","International reliable sources",""
"FS","Suite of Food Security Indicators","23","Belize","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","0.02","X","International reliable sources",""
"FS","Suite of Food Security Indicators","53","Benin","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","2738.2","X","International reliable sources",""
"FS","Suite of Food Security Indicators","53","Benin","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","3160.8","X","International reliable sources",""
"FS","Suite of Food Security Indicators","53","Benin","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","0.37","X","International reliable sources",""
"FS","Suite of Food Security Indicators","53","Benin","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","-0.13","X","International reliable sources",""
"FS","Suite of Food Security Indicators","17","Bermuda","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","0.8","X","International reliable sources",""
"FS","Suite of Food Security Indicators","17","Bermuda","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","1.16","X","International reliable sources",""
"FS","Suite of Food Security Indicators","18","Bhutan","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","6995.8","X","International reliable sources",""
"FS","Suite of Food Security Indicators","18","Bhutan","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","11345.5","X","International reliable sources",""
"FS","Suite of Food Security Indicators","18","Bhutan","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","0.72","X","International reliable sources",""
"FS","Suite of Food Security Indicators","18","Bhutan","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","1.1","X","International reliable sources",""
"FS","Suite of Food Security Indicators","19","Bolivia (Plurinational State of)","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","6351.2","X","International reliable sources",""
"FS","Suite of Food Security Indicators","19","Bolivia (Plurinational State of)","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","8655.5","X","International reliable sources",""
"FS","Suite of Food Security Indicators","19","Bolivia (Plurinational State of)","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","-0.7","X","International reliable sources",""
"FS","Suite of Food Security Indicators","19","Bolivia (Plurinational State of)","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","-0.24","X","International reliable sources",""
"FS","Suite of Food Security Indicators","80","Bosnia and Herzegovina","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","11180.5","X","International reliable sources",""
"FS","Suite of Food Security Indicators","80","Bosnia and Herzegovina","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","14419.6","X","International reliable sources",""
"FS","Suite of Food Security Indicators","80","Bosnia and Herzegovina","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","-0.54","X","International reliable sources",""
"FS","Suite of Food Security Indicators","80","Bosnia and Herzegovina","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","-0.39","X","International reliable sources",""
"FS","Suite of Food Security Indicators","20","Botswana","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","14615.9","X","International reliable sources",""
"FS","Suite of Food Security Indicators","20","Botswana","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","17634.1","X","International reliable sources",""
"FS","Suite of Food Security Indicators","20","Botswana","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","1.03","X","International reliable sources",""
"FS","Suite of Food Security Indicators","20","Botswana","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","0.98","X","International reliable sources",""
"FS","Suite of Food Security Indicators","21","Brazil","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","14110.3","X","International reliable sources",""
"FS","Suite of Food Security Indicators","21","Brazil","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","14596.2","X","International reliable sources",""
"FS","Suite of Food Security Indicators","21","Brazil","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","-0.31","X","International reliable sources",""
"FS","Suite of Food Security Indicators","21","Brazil","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","-0.36","X","International reliable sources",""
"FS","Suite of Food Security Indicators","26","Brunei Darussalam","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","68855.6","X","International reliable sources",""
"FS","Suite of Food Security Indicators","26","Brunei Darussalam","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","60388.9","X","International reliable sources",""
"FS","Suite of Food Security Indicators","26","Brunei Darussalam","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","1.13","X","International reliable sources",""
"FS","Suite of Food Security Indicators","26","Brunei Darussalam","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","1.2","X","International reliable sources",""
"FS","Suite of Food Security Indicators","27","Bulgaria","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","17704.6","X","International reliable sources",""
"FS","Suite of Food Security Indicators","27","Bulgaria","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","22181.5","X","International reliable sources",""
"FS","Suite of Food Security Indicators","27","Bulgaria","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","0.37","X","International reliable sources",""
"FS","Suite of Food Security Indicators","27","Bulgaria","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","0.42","X","International reliable sources",""
"FS","Suite of Food Security Indicators","233","Burkina Faso","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","1641.1","X","International reliable sources",""
"FS","Suite of Food Security Indicators","233","Burkina Faso","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","2131.5","X","International reliable sources",""
"FS","Suite of Food Security Indicators","233","Burkina Faso","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","0.12","X","International reliable sources",""
"FS","Suite of Food Security Indicators","233","Burkina Faso","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","-1.04","X","International reliable sources",""
"FS","Suite of Food Security Indicators","29","Burundi","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","827.8","X","International reliable sources",""
"FS","Suite of Food Security Indicators","29","Burundi","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","761.5","X","International reliable sources",""
"FS","Suite of Food Security Indicators","29","Burundi","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","-1.64","X","International reliable sources",""
"FS","Suite of Food Security Indicators","29","Burundi","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","-1.6","X","International reliable sources",""
"FS","Suite of Food Security Indicators","35","Cabo Verde","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","6341.3","X","International reliable sources",""
"FS","Suite of Food Security Indicators","35","Cabo Verde","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","6864.1","X","International reliable sources",""
"FS","Suite of Food Security Indicators","35","Cabo Verde","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","0.81","X","International reliable sources",""
"FS","Suite of Food Security Indicators","35","Cabo Verde","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","0.75","X","International reliable sources",""
"FS","Suite of Food Security Indicators","115","Cambodia","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","2640.6","X","International reliable sources",""
"FS","Suite of Food Security Indicators","115","Cambodia","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","4159.3","X","International reliable sources",""
"FS","Suite of Food Security Indicators","115","Cambodia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","-0.3","X","International reliable sources",""
"FS","Suite of Food Security Indicators","115","Cambodia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","0.11","X","International reliable sources",""
"FS","Suite of Food Security Indicators","32","Cameroon","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","3085","X","International reliable sources",""
"FS","Suite of Food Security Indicators","32","Cameroon","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","3603.5","X","International reliable sources",""
"FS","Suite of Food Security Indicators","32","Cameroon","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","-0.55","X","International reliable sources",""
"FS","Suite of Food Security Indicators","32","Cameroon","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","-1.38","X","International reliable sources",""
"FS","Suite of Food Security Indicators","33","Canada","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","46091.2","X","International reliable sources",""
"FS","Suite of Food Security Indicators","33","Canada","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","48924.4","X","International reliable sources",""
"FS","Suite of Food Security Indicators","33","Canada","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","1.04","X","International reliable sources",""
"FS","Suite of Food Security Indicators","33","Canada","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","0.99","X","International reliable sources",""
"FS","Suite of Food Security Indicators","37","Central African Republic","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","1085.4","X","International reliable sources",""
"FS","Suite of Food Security Indicators","37","Central African Republic","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","933.1","X","International reliable sources",""
"FS","Suite of Food Security Indicators","37","Central African Republic","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","-1.84","X","International reliable sources",""
"FS","Suite of Food Security Indicators","37","Central African Republic","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","-2.28","X","International reliable sources",""
"FS","Suite of Food Security Indicators","39","Chad","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","1564.8","X","International reliable sources",""
"FS","Suite of Food Security Indicators","39","Chad","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","1576.3","X","International reliable sources",""
"FS","Suite of Food Security Indicators","39","Chad","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","-1.97","X","International reliable sources",""
"FS","Suite of Food Security Indicators","39","Chad","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","-1.48","X","International reliable sources",""
"FS","Suite of Food Security Indicators","40","Chile","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","20152.5","X","International reliable sources",""
"FS","Suite of Food Security Indicators","40","Chile","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","24258.7","X","International reliable sources",""
"FS","Suite of Food Security Indicators","40","Chile","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","0.43","X","International reliable sources",""
"FS","Suite of Food Security Indicators","40","Chile","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","0.43","X","International reliable sources",""
"FS","Suite of Food Security Indicators","351","China","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","7661.1","X","International reliable sources",""
"FS","Suite of Food Security Indicators","351","China","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","15529.9","X","International reliable sources",""
"FS","Suite of Food Security Indicators","96","China, Hong Kong SAR","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","49788.8","X","International reliable sources",""
"FS","Suite of Food Security Indicators","96","China, Hong Kong SAR","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","61071.9","X","International reliable sources",""
"FS","Suite of Food Security Indicators","96","China, Hong Kong SAR","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","1.13","X","International reliable sources",""
"FS","Suite of Food Security Indicators","96","China, Hong Kong SAR","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","0.79","X","International reliable sources",""
"FS","Suite of Food Security Indicators","128","China, Macao SAR","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","96739.3","X","International reliable sources",""
"FS","Suite of Food Security Indicators","128","China, Macao SAR","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","131908","X","International reliable sources",""
"FS","Suite of Food Security Indicators","128","China, Macao SAR","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","0.48","X","International reliable sources",""
"FS","Suite of Food Security Indicators","128","China, Macao SAR","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","1.26","X","International reliable sources",""
"FS","Suite of Food Security Indicators","41","China, mainland","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","7413","X","International reliable sources",""
"FS","Suite of Food Security Indicators","41","China, mainland","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","15243.2","X","International reliable sources",""
"FS","Suite of Food Security Indicators","41","China, mainland","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","-0.49","X","International reliable sources",""
"FS","Suite of Food Security Indicators","41","China, mainland","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","-0.26","X","International reliable sources",""
"FS","Suite of Food Security Indicators","214","China, Taiwan Province of","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","0.84","X","International reliable sources",""
"FS","Suite of Food Security Indicators","214","China, Taiwan Province of","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","0.85","X","International reliable sources",""
"FS","Suite of Food Security Indicators","44","Colombia","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","11507.8","X","International reliable sources",""
"FS","Suite of Food Security Indicators","44","Colombia","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","14455.6","X","International reliable sources",""
"FS","Suite of Food Security Indicators","44","Colombia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","-1.85","X","International reliable sources",""
"FS","Suite of Food Security Indicators","44","Colombia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","-0.81","X","International reliable sources",""
"FS","Suite of Food Security Indicators","45","Comoros","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","2819.7","X","International reliable sources",""
"FS","Suite of Food Security Indicators","45","Comoros","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","3066.8","X","International reliable sources",""
"FS","Suite of Food Security Indicators","45","Comoros","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","-1.11","X","International reliable sources",""
"FS","Suite of Food Security Indicators","45","Comoros","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","-0.2","X","International reliable sources",""
"FS","Suite of Food Security Indicators","46","Congo","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","3235.9","X","International reliable sources",""
