Country Name,Country Code,Series Name,Series Code,2008 [YR2008]
Uruguay,URY,"Population, total",SP.POP.TOTL,3340221
Uzbekistan,UZB,Gini index (World Bank estimate),SI.POV.GINI,..
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,27302800
Vanuatu,VUT,Gini index (World Bank estimate),SI.POV.GINI,..
Vanuatu,VUT,"Population, total",SP.POP.TOTL,224704
"Venezuela, RB",VEN,Gini index (World Bank estimate),SI.POV.GINI,..
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,27635832
Vietnam,VNM,Gini index (World Bank estimate),SI.POV.GINI,35.6
Vietnam,VNM,"Population, total",SP.POP.TOTL,86243413
Virgin Islands (U.S.),VIR,Gini index (World Bank estimate),SI.POV.GINI,..
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,108399
West Bank and Gaza,PSE,Gini index (World Bank estimate),SI.POV.GINI,..
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,3591977
"Yemen, Rep.",YEM,Gini index (World Bank estimate),SI.POV.GINI,..
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,21892146
Zambia,ZMB,Gini index (World Bank estimate),SI.POV.GINI,..
Zambia,ZMB,"Population, total",SP.POP.TOTL,12848530
Zimbabwe,ZWE,Gini index (World Bank estimate),SI.POV.GINI,..
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,12379549
Arab World,ARB,Gini index (World Bank estimate),SI.POV.GINI,..
Arab World,ARB,"Population, total",SP.POP.TOTL,338395961
Caribbean small states,CSS,Gini index (World Bank estimate),SI.POV.GINI,..
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,6878970
Central Europe and the Baltics,CEB,Gini index (World Bank estimate),SI.POV.GINI,..
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,105001883
Early-demographic dividend,EAR,Gini index (World Bank estimate),SI.POV.GINI,..
Early-demographic dividend,EAR,"Population, total",SP.POP.TOTL,2820636594
East Asia & Pacific,EAS,Gini index (World Bank estimate),SI.POV.GINI,..
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,2177119142
East Asia & Pacific (excluding high income),EAP,Gini index (World Bank estimate),SI.POV.GINI,..
East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,1938057249
East Asia & Pacific (IDA & IBRD countries),TEA,Gini index (World Bank estimate),SI.POV.GINI,..
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, total",SP.POP.TOTL,1913718210
Euro area,EMU,Gini index (World Bank estimate),SI.POV.GINI,..
Euro area,EMU,"Population, total",SP.POP.TOTL,334274725
Europe & Central Asia,ECS,Gini index (World Bank estimate),SI.POV.GINI,..
Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,880829122
Europe & Central Asia (excluding high income),ECA,Gini index (World Bank estimate),SI.POV.GINI,..
Europe & Central Asia (excluding high income),ECA,"Population, total",SP.POP.TOTL,373751805
Europe & Central Asia (IDA & IBRD countries),TEC,Gini index (World Bank estimate),SI.POV.GINI,..
Europe & Central Asia (IDA & IBRD countries),TEC,"Population, total",SP.POP.TOTL,436725144
European Union,EUU,Gini index (World Bank estimate),SI.POV.GINI,..
European Union,EUU,"Population, total",SP.POP.TOTL,439876674
Fragile and conflict affected situations,FCS,Gini index (World Bank estimate),SI.POV.GINI,..
Fragile and conflict affected situations,FCS,"Population, total",SP.POP.TOTL,616786947
Heavily indebted poor countries (HIPC),HPC,Gini index (World Bank estimate),SI.POV.GINI,..
Heavily indebted poor countries (HIPC),HPC,"Population, total",SP.POP.TOTL,590590368
High income,HIC,Gini index (World Bank estimate),SI.POV.GINI,..
High income,HIC,"Population, total",SP.POP.TOTL,1163465944
IBRD only,IBD,Gini index (World Bank estimate),SI.POV.GINI,..
IBRD only,IBD,"Population, total",SP.POP.TOTL,4340024679
IDA & IBRD total,IBT,Gini index (World Bank estimate),SI.POV.GINI,..
IDA & IBRD total,IBT,"Population, total",SP.POP.TOTL,5643601079
IDA blend,IDB,Gini index (World Bank estimate),SI.POV.GINI,..
IDA blend,IDB,"Population, total",SP.POP.TOTL,434469613
IDA only,IDX,Gini index (World Bank estimate),SI.POV.GINI,..
IDA only,IDX,"Population, total",SP.POP.TOTL,869106787
IDA total,IDA,Gini index (World Bank estimate),SI.POV.GINI,..
IDA total,IDA,"Population, total",SP.POP.TOTL,1303576400
Late-demographic dividend,LTE,Gini index (World Bank estimate),SI.POV.GINI,..
Late-demographic dividend,LTE,"Population, total",SP.POP.TOTL,2154245139
Latin America & Caribbean,LCN,Gini index (World Bank estimate),SI.POV.GINI,..
Latin America & Caribbean,LCN,"Population, total",SP.POP.TOTL,576783744
Latin America & Caribbean (excluding high income),LAC,Gini index (World Bank estimate),SI.POV.GINI,..
Latin America & Caribbean (excluding high income),LAC,"Population, total",SP.POP.TOTL,546848929
Latin America & the Caribbean (IDA & IBRD countries),TLA,Gini index (World Bank estimate),SI.POV.GINI,..
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, total",SP.POP.TOTL,560624659
Least developed countries: UN classification,LDC,Gini index (World Bank estimate),SI.POV.GINI,..
Least developed countries: UN classification,LDC,"Population, total",SP.POP.TOTL,798563392
Low & middle income,LMY,Gini index (World Bank estimate),SI.POV.GINI,..
Low & middle income,LMY,"Population, total",SP.POP.TOTL,5593451949
Low income,LIC,Gini index (World Bank estimate),SI.POV.GINI,..
Low income,LIC,"Population, total",SP.POP.TOTL,503324676
Lower middle income,LMC,Gini index (World Bank estimate),SI.POV.GINI,..
Lower middle income,LMC,"Population, total",SP.POP.TOTL,2468136919
Middle East & North Africa,MEA,Gini index (World Bank estimate),SI.POV.GINI,..
Middle East & North Africa,MEA,"Population, total",SP.POP.TOTL,369823252
Middle East & North Africa (excluding high income),MNA,Gini index (World Bank estimate),SI.POV.GINI,..
Middle East & North Africa (excluding high income),MNA,"Population, total",SP.POP.TOTL,321168767
Middle East & North Africa (IDA & IBRD countries),TMN,Gini index (World Bank estimate),SI.POV.GINI,..
Middle East & North Africa (IDA & IBRD countries),TMN,"Population, total",SP.POP.TOTL,317576790
Middle income,MIC,Gini index (World Bank estimate),SI.POV.GINI,..
Middle income,MIC,"Population, total",SP.POP.TOTL,5090127273
North America,NAC,Gini index (World Bank estimate),SI.POV.GINI,..
North America,NAC,"Population, total",SP.POP.TOTL,337406357
Not classified,INX,Gini index (World Bank estimate),SI.POV.GINI,..
Not classified,INX,"Population, total",SP.POP.TOTL,..
OECD members,OED,Gini index (World Bank estimate),SI.POV.GINI,..
OECD members,OED,"Population, total",SP.POP.TOTL,1270059584
Other small states,OSS,Gini index (World Bank estimate),SI.POV.GINI,..
Other small states,OSS,"Population, total",SP.POP.TOTL,24762406
Pacific island small states,PSS,Gini index (World Bank estimate),SI.POV.GINI,..
Pacific island small states,PSS,"Population, total",SP.POP.TOTL,2157454
Post-demographic dividend,PST,Gini index (World Bank estimate),SI.POV.GINI,..
Post-demographic dividend,PST,"Population, total",SP.POP.TOTL,1064394156
Pre-demographic dividend,PRE,Gini index (World Bank estimate),SI.POV.GINI,..
Pre-demographic dividend,PRE,"Population, total",SP.POP.TOTL,691447610
Small states,SST,Gini index (World Bank estimate),SI.POV.GINI,..
Small states,SST,"Population, total",SP.POP.TOTL,33798830
South Asia,SAS,Gini index (World Bank estimate),SI.POV.GINI,..
South Asia,SAS,"Population, total",SP.POP.TOTL,1592010819
South Asia (IDA & IBRD),TSA,Gini index (World Bank estimate),SI.POV.GINI,..
South Asia (IDA & IBRD),TSA,"Population, total",SP.POP.TOTL,1592010819
Sub-Saharan Africa,SSF,Gini index (World Bank estimate),SI.POV.GINI,..
Sub-Saharan Africa,SSF,"Population, total",SP.POP.TOTL,822945457
Sub-Saharan Africa (excluding high income),SSA,Gini index (World Bank estimate),SI.POV.GINI,..
Sub-Saharan Africa (excluding high income),SSA,"Population, total",SP.POP.TOTL,821614380
Sub-Saharan Africa (IDA & IBRD countries),TSS,Gini index (World Bank estimate),SI.POV.GINI,..
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Population, total",SP.POP.TOTL,822945457
Upper middle income,UMC,Gini index (World Bank estimate),SI.POV.GINI,..
Upper middle income,UMC,"Population, total",SP.POP.TOTL,2621990354
World,WLD,Gini index (World Bank estimate),SI.POV.GINI,..
World,WLD,"Population, total",SP.POP.TOTL,6756917893
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 12/16/2020,,,,
