Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011]
United States,USA,Gini index (World Bank estimate),SI.POV.GINI,40.3,..,40.8,..,..,40,..
United States,USA,"Population, total",SP.POP.TOTL,292805298,298379912,301231207,304093966,306771529,309321666,311556874
Afghanistan,AFG,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Afghanistan,AFG,"Population, total",SP.POP.TOTL,24726684,26433049,27100536,27722276,28394813,29185507,30117413
Albania,ALB,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,30,..,..,..
Albania,ALB,"Population, total",SP.POP.TOTL,3026939,2992547,2970017,2947314,2927519,2913021,2905195
Algeria,DZA,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,27.6
Algeria,DZA,"Population, total",SP.POP.TOTL,32692163,33641002,34166972,34730608,35333881,35977455,36661444
American Samoa,ASM,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
American Samoa,ASM,"Population, total",SP.POP.TOTL,59681,59107,58365,57492,56683,56079,55759
Andorra,AND,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Andorra,AND,"Population, total",SP.POP.TOTL,76244,80993,82684,83862,84463,84449,83747
Angola,AGO,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,42.7,..,..,..
Angola,AGO,"Population, total",SP.POP.TOTL,18758145,20149901,20905363,21695634,22514281,23356246,24220661
Antigua and Barbuda,ATG,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,80336,82704,84026,85397,86746,88028,89253
Armenia,ARM,Gini index (World Bank estimate),SI.POV.GINI,37.5,29.7,31.2,29.2,28,30,29.4
Armenia,ARM,"Population, total",SP.POP.TOTL,3000720,2958307,2932618,2907618,2888092,2877319,2876538
Aruba,ABW,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Aruba,ABW,"Population, total",SP.POP.TOTL,98737,100834,101222,101358,101455,101669,102046
Austria,AUT,Gini index (World Bank estimate),SI.POV.GINI,29.8,29.6,30.6,30.4,31.5,30.3,30.8
Austria,AUT,"Population, total",SP.POP.TOTL,8171966,8268641,8295487,8321496,8343323,8363404,8391643
Azerbaijan,AZE,Gini index (World Bank estimate),SI.POV.GINI,26.6,..,..,..,..,..,..
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,8306500,8484550,8581300,8763400,8947243,9054332,9173082
"Bahamas, The",BHS,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,318894,331033,337389,343681,349604,354942,359577
Bahrain,BHR,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Bahrain,BHR,"Population, total",SP.POP.TOTL,829844,958418,1035919,1114641,1185076,1240860,1278151
Bangladesh,BGD,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,32.1,..
Bangladesh,BGD,"Population, total",SP.POP.TOTL,136986432,140921167,142660376,144304167,145924797,147575430,149273778
Barbados,BRB,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Barbados,BRB,"Population, total",SP.POP.TOTL,275284,277477,278700,279946,281104,282131,282987
Belarus,BLR,Gini index (World Bank estimate),SI.POV.GINI,26.5,28.3,29.6,27.8,27.7,28.6,27.2
Belarus,BLR,"Population, total",SP.POP.TOTL,9730146,9604924,9560953,9527985,9506765,9490583,9473172
Belgium,BEL,Gini index (World Bank estimate),SI.POV.GINI,30.5,28.1,29.2,28.4,28.6,28.4,28.1
Belgium,BEL,"Population, total",SP.POP.TOTL,10421137,10547958,10625700,10709973,10796493,10895586,11038264
Belize,BLZ,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Belize,BLZ,"Population, total",SP.POP.TOTL,276504,291329,299025,306823,314655,322464,330237
Benin,BEN,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,43.4
Benin,BEN,"Population, total",SP.POP.TOTL,7750004,8216897,8454793,8696921,8944708,9199259,9460830
Bermuda,BMU,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Bermuda,BMU,"Population, total",SP.POP.TOTL,63740,64523,64888,65273,65636,65124,64564
Bhutan,BTN,Gini index (World Bank estimate),SI.POV.GINI,..,..,38.1,..,..,..,..
Bhutan,BTN,"Population, total",SP.POP.TOTL,638815,657410,664876,671613,678323,685503,693298
Bolivia,BOL,Gini index (World Bank estimate),SI.POV.GINI,55,56.7,54.5,50.8,49.2,..,46.1
Bolivia,BOL,"Population, total",SP.POP.TOTL,9069039,9395446,9558439,9721454,9884781,10048590,10212954
Bosnia and Herzegovina,BIH,Gini index (World Bank estimate),SI.POV.GINI,34,..,33.1,..,..,..,33
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3764194,3765424,3762786,3754271,3735938,3705472,3661175
Botswana,BWA,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,60.5,..,..
Botswana,BWA,"Population, total",SP.POP.TOTL,1765527,1835908,1875459,1915639,1953498,1987105,2015402
British Virgin Islands,VGB,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,22334,24023,25047,26097,27039,27794,28319
Brunei Darussalam,BRN,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,359433,370263,374965,379421,383906,388646,393688
Bulgaria,BGR,Gini index (World Bank estimate),SI.POV.GINI,..,35.7,36.1,33.6,33.8,35.7,34.3
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7716860,7601022,7545338,7492561,7444443,7395599,7348328
Burkina Faso,BFA,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,39.8,..,..
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,13030569,13829176,14252021,14689725,15141098,15605217,16081911
Burundi,BDI,Gini index (World Bank estimate),SI.POV.GINI,..,33.4,..,..,..,..,..
Burundi,BDI,"Population, total",SP.POP.TOTL,7131693,7607849,7862214,8126102,8397668,8675602,8958406
Cabo Verde,CPV,Gini index (World Bank estimate),SI.POV.GINI,..,..,47.2,..,..,..,..
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,456617,469170,475060,480842,486671,492654,498856
Cambodia,KHM,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Cambodia,KHM,"Population, total",SP.POP.TOTL,13066469,13477709,13679962,13883834,14093604,14312212,14541423
Cameroon,CMR,Gini index (World Bank estimate),SI.POV.GINI,..,..,42.8,..,..,..,..
Cameroon,CMR,"Population, total",SP.POP.TOTL,17259322,18223674,18730282,19252666,19789919,20341241,20906388
Canada,CAN,Gini index (World Bank estimate),SI.POV.GINI,33.7,..,33.8,..,..,33.6,..
Canada,CAN,"Population, total",SP.POP.TOTL,31940655,32571174,32889025,33247118,33628895,34004889,34339328
Cayman Islands,CYM,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,47902,50740,52280,53836,55322,56672,57878
Central African Republic,CAF,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,56.2,..,..,..
Central African Republic,CAF,"Population, total",SP.POP.TOTL,3959875,4118069,4198010,4273366,4337625,4386768,4418636
Chad,TCD,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,43.3
Chad,TCD,"Population, total",SP.POP.TOTL,9734767,10457124,10818024,11183588,11560147,11952136,12360989
Channel Islands,CHI,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Channel Islands,CHI,"Population, total",SP.POP.TOTL,150716,153008,154636,156433,158178,159734,160998
Chile,CHL,Gini index (World Bank estimate),SI.POV.GINI,..,47.3,..,..,47,..,46
Chile,CHL,"Population, total",SP.POP.TOTL,16014971,16354504,16530195,16708258,16886186,17062536,17233576
Colombia,COL,Gini index (World Bank estimate),SI.POV.GINI,54.8,..,..,55.5,54.4,54.7,53.5
Colombia,COL,"Population, total",SP.POP.TOTL,42075953,43200901,43737512,44254972,44750054,45222699,45662747
Comoros,COM,Gini index (World Bank estimate),SI.POV.GINI,55.9,..,..,..,..,..,..
Comoros,COM,"Population, total",SP.POP.TOTL,597228,626425,641620,657229,673252,689692,706569
"Congo, Dem. Rep.",COD,Gini index (World Bank estimate),SI.POV.GINI,42.2,..,..,..,..,..,..
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,53068880,56578037,58453683,60411195,62448574,64563854,66755153
"Congo, Rep.",COG,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,48.9
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,3510468,3745141,3876119,4011486,4145391,4273731,4394844
Costa Rica,CRI,Gini index (World Bank estimate),SI.POV.GINI,48.3,49.4,49.3,48.7,50.6,48.2,48.7
Costa Rica,CRI,"Population, total",SP.POP.TOTL,4225155,4345412,4404628,4463125,4520740,4577378,4633086
Cote d'Ivoire,CIV,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,43.2,..,..,..
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,17970494,18754916,19171237,19605569,20059147,20532950,21028655
Croatia,HRV,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,32.6,32.4,32.3
Croatia,HRV,"Population, total",SP.POP.TOTL,4304600,4311159,4310217,4309705,4305181,4295427,4280622
Cuba,CUB,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Cuba,CUB,"Population, total",SP.POP.TOTL,11250365,11261248,11251122,11236971,11226709,11225832,11236670
Curacao,CUW,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Curacao,CUW,"Population, total",SP.POP.TOTL,134192,141239,144056,145880,146833,148703,150831
Cyprus,CYP,Gini index (World Bank estimate),SI.POV.GINI,30.1,31.1,31.1,31.7,32.1,31.5,32.6
Cyprus,CYP,"Population, total",SP.POP.TOTL,1010408,1045507,1063713,1081563,1098083,1112612,1124833
Czech Republic,CZE,Gini index (World Bank estimate),SI.POV.GINI,27.5,26.7,26,26.3,26.2,26.6,26.4
Czech Republic,CZE,"Population, total",SP.POP.TOTL,10197101,10238905,10298828,10384603,10443936,10474410,10496088
Denmark,DNK,Gini index (World Bank estimate),SI.POV.GINI,24.9,25.9,26.2,25.2,26.7,27.2,27.3
Denmark,DNK,"Population, total",SP.POP.TOTL,5404523,5437272,5461438,5493621,5523095,5547683,5570572
Djibouti,DJI,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Djibouti,DJI,"Population, total",SP.POP.TOTL,771603,794563,805451,816358,827823,840198,853674
Dominica,DMA,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Dominica,DMA,"Population, total",SP.POP.TOTL,70382,70718,70795,70827,70851,70878,70916
Dominican Republic,DOM,Gini index (World Bank estimate),SI.POV.GINI,52.1,52,48.9,48.1,48.9,47.3,47.7
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,8974444,9218686,9338861,9458075,9576737,9695121,9813210
Ecuador,ECU,Gini index (World Bank estimate),SI.POV.GINI,53.9,52.2,53.3,49.7,48.4,48.7,45.9
Ecuador,ECU,"Population, total",SP.POP.TOTL,13596388,14059384,14296557,14535739,14774424,15011117,15243883
"Egypt, Arab Rep.",EGY,Gini index (World Bank estimate),SI.POV.GINI,31.8,..,..,31.1,..,30.2,..
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,74172073,76873663,78232126,79636079,81134798,82761235,84529250
El Salvador,SLV,Gini index (World Bank estimate),SI.POV.GINI,47.8,45.7,45.2,46.9,45.8,43.5,42.3
El Salvador,SLV,"Population, total",SP.POP.TOTL,6023797,6079399,6105810,6131764,6157686,6183875,6210568
Equatorial Guinea,GNQ,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,716949,784496,821687,860840,901599,943639,986853
Eritrea,ERI,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Eritrea,ERI,"Population, total",SP.POP.TOTL,2719803,2918205,2996536,3062779,3119920,3170435,3213972
Estonia,EST,Gini index (World Bank estimate),SI.POV.GINI,33.6,33.7,31.2,31.9,31.4,32,32.5
Estonia,EST,"Population, total",SP.POP.TOTL,1362550,1346810,1340680,1337090,1334515,1331475,1327439
Eswatini,SWZ,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,51.5,..,..
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1026286,1036092,1042652,1049945,1057467,1064837,1072032
Ethiopia,ETH,Gini index (World Bank estimate),SI.POV.GINI,29.8,..,..,..,..,33.2,..
Ethiopia,ETH,"Population, total",SP.POP.TOTL,74239505,78489206,80674348,82916235,85233913,87639964,90139927
Faroe Islands,FRO,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,47600,47792,47825,47820,47808,47814,47823
Fiji,FJI,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,40.4,..,..,..
Fiji,FJI,"Population, total",SP.POP.TOTL,817860,827870,836190,845361,853637,859818,863449
Finland,FIN,Gini index (World Bank estimate),SI.POV.GINI,27.9,28,28.3,27.8,27.5,27.7,27.6
Finland,FIN,"Population, total",SP.POP.TOTL,5228172,5266268,5288720,5313399,5338871,5363352,5388272
French Polynesia,PYF,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
French Polynesia,PYF,"Population, total",SP.POP.TOTL,255992,261010,262721,264061,265254,266455,267698
Gabon,GAB,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Gabon,GAB,"Population, total",SP.POP.TOTL,1353795,1430152,1472575,1518540,1568928,1624140,1684635
"Gambia, The",GMB,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,43.6,..
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,1496527,1591445,1639848,1689285,1740279,1793196,1848147
Georgia,GEO,Gini index (World Bank estimate),SI.POV.GINI,36.2,36.9,38.1,38.5,38.2,39.5,39.6
Georgia,GEO,"Population, total",SP.POP.TOTL,3927340,3880347,3860158,3848449,3814419,3786695,3756441
Ghana,GHA,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Ghana,GHA,"Population, total",SP.POP.TOTL,21272323,22379055,22963946,23563825,24170940,24779619,25387710
Gibraltar,GIB,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Gibraltar,GIB,"Population, total",SP.POP.TOTL,32928,33417,33517,33559,33565,33585,33612
Greece,GRC,Gini index (World Bank estimate),SI.POV.GINI,33.6,35.1,34,33.6,33.6,34.1,34.8
Greece,GRC,"Population, total",SP.POP.TOTL,10955141,11020362,11048473,11077841,11107017,11121341,11104899
Greenland,GRL,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Greenland,GRL,"Population, total",SP.POP.TOTL,56911,56774,56555,56328,56323,56905,56890
Grenada,GRD,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Grenada,GRD,"Population, total",SP.POP.TOTL,104347,104933,105190,105456,105789,106233,106796
Guam,GUM,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Guam,GUM,"Population, total",SP.POP.TOTL,158101,158648,158847,159036,159226,159444,159692
Guatemala,GTM,Gini index (World Bank estimate),SI.POV.GINI,..,54.6,..,..,..,..,..
Guatemala,GTM,"Population, total",SP.POP.TOTL,12682108,13213330,13477017,13739299,14000190,14259687,14521515
Guinea,GIN,Gini index (World Bank estimate),SI.POV.GINI,..,..,39.4,..,..,..,..
Guinea,GIN,"Population, total",SP.POP.TOTL,8925743,9307425,9518162,9738792,9964469,10192176,10420471
Guinea-Bissau,GNB,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,50.7,..
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1313492,1377581,1411543,1446936,1483921,1522599,1562989
Guyana,GUY,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Guyana,GUY,"Population, total",SP.POP.TOTL,745737,746343,746474,746817,747718,749436,752028
Haiti,HTI,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Haiti,HTI,"Population, total",SP.POP.TOTL,9047077,9344785,9495328,9646580,9798046,9949322,10100320
Honduras,HND,Gini index (World Bank estimate),SI.POV.GINI,58.1,57.5,55.8,55.5,51.3,53.1,56.2
Honduras,HND,"Population, total",SP.POP.TOTL,7282953,7634298,7808518,7980955,8150775,8317470,8480671
"Hong Kong SAR, China",HKG,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,6783500,6857100,6916300,6957800,6972800,7024200,7071600
Hungary,HUN,Gini index (World Bank estimate),SI.POV.GINI,29.9,28.3,27.9,27.5,27,29.4,29.2
Hungary,HUN,"Population, total",SP.POP.TOTL,10107146,10071370,10055780,10038188,10022650,10000023,9971727
Iceland,ISL,Gini index (World Bank estimate),SI.POV.GINI,28,30.2,29.5,31.8,28.7,26.2,26.8
Iceland,ISL,"Population, total",SP.POP.TOTL,292074,303782,311566,317414,318499,318041,319014
"Iran, Islamic Rep.",IRN,Gini index (World Bank estimate),SI.POV.GINI,..,44.8,..,..,42.1,..,..
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,68951281,70554760,71336475,72120604,72924837,73762519,74634956
Iraq,IRQ,Gini index (World Bank estimate),SI.POV.GINI,..,28.6,..,..,..,..,..
Iraq,IRQ,"Population, total",SP.POP.TOTL,26313838,27448124,27911248,28385746,28973162,29741976,30725300
Ireland,IRL,Gini index (World Bank estimate),SI.POV.GINI,33.6,32.7,31.9,30.9,32.7,32.3,32.9
Ireland,IRL,"Population, total",SP.POP.TOTL,4070262,4273591,4398942,4489544,4535375,4560155,4580084
Isle of Man,IMN,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Isle of Man,IMN,"Population, total",SP.POP.TOTL,79520,81285,82408,83508,84376,84857,84886
Israel,ISR,Gini index (World Bank estimate),SI.POV.GINI,..,..,41.1,..,..,42.5,..
Israel,ISR,"Population, total",SP.POP.TOTL,6809000,7053700,7180100,7308800,7485600,7623600,7765800
Jamaica,JAM,Gini index (World Bank estimate),SI.POV.GINI,45.5,..,..,..,..,..,..
Jamaica,JAM,"Population, total",SP.POP.TOTL,2725015,2754407,2768227,2781876,2795837,2810460,2825929
Jordan,JOR,Gini index (World Bank estimate),SI.POV.GINI,..,33.9,..,32.6,..,33.7,..
Jordan,JOR,"Population, total",SP.POP.TOTL,5580244,5991540,6255280,6556478,6893260,7261539,7663131
Kazakhstan,KAZ,Gini index (World Bank estimate),SI.POV.GINI,31.8,30.2,30.1,28.5,28.2,28,28
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,15012985,15308084,15484192,15674000,16092822,16321872,16557201
Kenya,KEN,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Kenya,KEN,"Population, total",SP.POP.TOTL,35635271,37649033,38705932,39791981,40901792,42030676,43178257
Kiribati,KIR,Gini index (World Bank estimate),SI.POV.GINI,..,37,..,..,..,..,..
Kiribati,KIR,"Population, total",SP.POP.TOTL,90499,94343,96527,98761,100930,102927,104728
"Korea, Dem. People’s Rep.",PRK,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
"Korea, Dem. People’s Rep.",PRK,"Population, total",SP.POP.TOTL,23732731,24054864,24188331,24310142,24428341,24548836,24673385
Kosovo,XKX,Gini index (World Bank estimate),SI.POV.GINI,..,30.3,..,..,31.8,33.3,27.8
Kosovo,XKX,"Population, total",SP.POP.TOTL,1704622,1719536,1733404,1747383,1761474,1775680,1791000
Kuwait,KWT,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Kuwait,KWT,"Population, total",SP.POP.TOTL,2200492,2373672,2504019,2656009,2821045,2991884,3168060
Kyrgyz Republic,KGZ,Gini index (World Bank estimate),SI.POV.GINI,34.8,37.4,33.9,31.5,29.9,30.1,27.8
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,5104700,5218400,5268400,5318700,5383300,5447900,5514600
Lao PDR,LAO,Gini index (World Bank estimate),SI.POV.GINI,..,..,35.4,..,..,..,..
Lao PDR,LAO,"Population, total",SP.POP.TOTL,5662208,5846074,5944948,6046620,6148623,6249165,6347567
Latvia,LVA,Gini index (World Bank estimate),SI.POV.GINI,36.4,35.6,37.5,37.2,36,35,35.8
Latvia,LVA,"Population, total",SP.POP.TOTL,2263122,2218357,2200325,2177322,2141669,2097555,2059709
Lebanon,LBN,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,31.8
Lebanon,LBN,"Population, total",SP.POP.TOTL,4569378,4759753,4767344,4764741,4813026,4953061,5202343
Lesotho,LSO,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Lesotho,LSO,"Population, total",SP.POP.TOTL,2005940,1989939,1986922,1987129,1990131,1995581,2003787
Liberia,LBR,Gini index (World Bank estimate),SI.POV.GINI,..,..,36.5,..,..,..,..
Liberia,LBR,"Population, total",SP.POP.TOTL,3135651,3329211,3461911,3607860,3754133,3891356,4017443
Libya,LBY,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Libya,LBY,"Population, total",SP.POP.TOTL,5710154,5886872,5974787,6058748,6133984,6197663,6247439
Liechtenstein,LIE,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,34452,34970,35217,35471,35727,35994,36293
Lithuania,LTU,Gini index (World Bank estimate),SI.POV.GINI,37,34.4,34.8,35.7,37.2,33.6,32.5
Lithuania,LTU,"Population, total",SP.POP.TOTL,3377075,3269909,3231294,3198231,3162916,3097282,3028115
Luxembourg,LUX,Gini index (World Bank estimate),SI.POV.GINI,30.2,30.9,31.1,32.6,31.2,30.5,32.1
Luxembourg,LUX,"Population, total",SP.POP.TOTL,458095,472637,479993,488650,497783,506953,518347
"Macao SAR, China",MAC,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,471597,493799,504511,515239,526400,538219,550832
Madagascar,MDG,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,42.4,..
Madagascar,MDG,"Population, total",SP.POP.TOTL,17802997,18880269,19433530,19996473,20569117,21151640,21743967
Malawi,MWI,Gini index (World Bank estimate),SI.POV.GINI,39.9,..,..,..,..,45.5,..
Malawi,MWI,"Population, total",SP.POP.TOTL,12301838,12973699,13341806,13727890,14128155,14539612,14962112
Malaysia,MYS,Gini index (World Bank estimate),SI.POV.GINI,46.1,..,46.1,45.5,..,..,43.9
Malaysia,MYS,"Population, total",SP.POP.TOTL,25190652,26201961,26720370,27236006,27735040,28208035,28650955
Maldives,MDV,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,38.4,..,..
