date_operation,libelle,montant,solde_avt_ope,categ,type,tranche_depense,sens,annee,mois,jour,jour_sem,jour_sem_num,weekend,quart_mois
2023-04-10,CARTE XX XX XX XX XX XX XX XX XX XX,-1.6,2887.3,AUTRE,CARTE,petite,debit,2023,4,10,Monday,1,FALSE,2
2023-04-10,CARTE XX XX LES ANCIENS ROBINSON XX,-42.42,2885.7,COURSES,CARTE,petite,debit,2023,4,10,Monday,1,FALSE,2
2023-04-10,CARTE XX XX VELOC XX XX,-2.7,2843.28,TRANSPORT,CARTE,petite,debit,2023,4,10,Monday,1,FALSE,2
2023-04-11,VIREMENT XX XX XX XX XX XX XX,836,2840.58,AUTRE,VIREMENT,(pas une dépense),credit,2023,4,11,Tuesday,2,FALSE,2
2023-04-11,CARTE XX XX XX XX XX,-7.56,3676.58,AUTRE,CARTE,petite,debit,2023,4,11,Tuesday,2,FALSE,2
2023-04-11,VIREMENT XX XX XX XX XX XX XX,869.44,3669.02,AUTRE,VIREMENT,(pas une dépense),credit,2023,4,11,Tuesday,2,FALSE,2
2023-04-11,CARTE XX XX XX XX,-48,4538.46,AUTRE,CARTE,petite,debit,2023,4,11,Tuesday,2,FALSE,2
2023-04-12,CARTE XX XX XX XX XX,-28.96,4490.46,AUTRE,CARTE,petite,debit,2023,4,12,Wednesday,3,FALSE,2
2023-04-13,XX XX XX XX XX XX XX,-280,4461.5,AUTRE,AUTRE,grosse,debit,2023,4,13,Thursday,4,FALSE,2
2023-04-14,CARTE XX XX XX XX XX,-1.6,4181.5,AUTRE,CARTE,petite,debit,2023,4,14,Friday,5,FALSE,2
2023-04-14,CARTE XX XX CHEZ LUC XX,-8.8,4179.9,RESTAURANT,CARTE,petite,debit,2023,4,14,Friday,5,FALSE,2
2023-04-14,CARTE XX XX XX XX XX,-0.8,4171.1,AUTRE,CARTE,petite,debit,2023,4,14,Friday,5,FALSE,2
2023-04-15,VIREMENT PERMANENT LOYER,-345,4170.3,LOYER,VIREMENT,grosse,debit,2023,4,15,Saturday,6,TRUE,2
2023-04-18,VIREMENT XX XX XX XX XX XX,1.6,3825.3,AUTRE,VIREMENT,(pas une dépense),credit,2023,4,18,Tuesday,2,FALSE,3
2023-04-18,CARTE XX XX XX XX XX,-10.32,3826.9,AUTRE,CARTE,petite,debit,2023,4,18,Tuesday,2,FALSE,3
2023-04-18,CARTE XX XX XX XX XX,-8.72,3816.58,AUTRE,CARTE,petite,debit,2023,4,18,Tuesday,2,FALSE,3
2023-04-18,RETRAIT XX XX XX,-24,3807.86,AUTRE,RETRAIT,petite,debit,2023,4,18,Tuesday,2,FALSE,3
2023-04-18,CARTE XX XX XX XX,-74.58,3783.86,AUTRE,CARTE,petite,debit,2023,4,18,Tuesday,2,FALSE,3
2023-04-18,CARTE XX XX VELOC XX XX,-1.7,3709.28,TRANSPORT,CARTE,petite,debit,2023,4,18,Tuesday,2,FALSE,3
2023-04-19,CARTE XX XX XX XX XX,-13.6,3707.58,AUTRE,CARTE,petite,debit,2023,4,19,Wednesday,3,FALSE,3
2023-04-20,CARTE XX XX XX XX,-7.2,3693.98,AUTRE,CARTE,petite,debit,2023,4,20,Thursday,4,FALSE,3
2023-04-21,CARTE XX XX L'EPICERIE DEMBAS XX XX,-10.43,3686.78,AUTRE,CARTE,petite,debit,2023,4,21,Friday,5,FALSE,3
2023-04-24,CARTE XX XX XX XX XX,-7.84,3676.35,AUTRE,CARTE,petite,debit,2023,4,24,Monday,1,FALSE,3
2023-04-24,CARTE XX XX XX XX,-11.64,3668.51,AUTRE,CARTE,petite,debit,2023,4,24,Monday,1,FALSE,3
2023-04-24,CARTE XX XX CHEZ LUC XX,-9.2,3656.87,RESTAURANT,CARTE,petite,debit,2023,4,24,Monday,1,FALSE,3
2023-04-25,CARTE XX XX LES ANCIENS ROBINSON XX,-32.67,3647.67,COURSES,CARTE,petite,debit,2023,4,25,Tuesday,2,FALSE,4
2023-04-26,CARTE XX XX XX XX XX XX,-10,3615,AUTRE,CARTE,petite,debit,2023,4,26,Wednesday,3,FALSE,4
2023-04-26,CARTE XX XX LA LOUVE XX XX,-1.9,3605,COURSES,CARTE,petite,debit,2023,4,26,Wednesday,3,FALSE,4
2023-04-28,CARTE XX XX LES ANCIENS ROBINSON XX,-9.11,3603.1,COURSES,CARTE,petite,debit,2023,4,28,Friday,5,FALSE,4
2023-04-28,DON XX XX XX XX XX XX XX,-1.4,3593.99,AUTRE,DON,petite,debit,2023,4,28,Friday,5,FALSE,4
2023-04-30,XX XX VIREMENT XX XX XX,-36,3592.59,AUTRE,VIREMENT,petite,debit,2023,4,30,Sunday,0,TRUE,4
2023-05-02,CARTE XX XX TOUPTIPRI XX,-12.24,3556.59,COURSES,CARTE,petite,debit,2023,5,2,Tuesday,2,FALSE,1
2023-05-02,VIREMENT XX XX XX XX XX XX XX,47.2,3544.35,AUTRE,VIREMENT,(pas une dépense),credit,2023,5,2,Tuesday,2,FALSE,1
2023-05-02,CARTE XX XX XX XX XX XX,-8.48,3591.55,AUTRE,CARTE,petite,debit,2023,5,2,Tuesday,2,FALSE,1
2023-05-02,CARTE XX XX XX XX XX,-16.7,3583.07,AUTRE,CARTE,petite,debit,2023,5,2,Tuesday,2,FALSE,1
2023-05-02,CARTE XX XX XX XX XX XX,-10.4,3566.37,AUTRE,CARTE,petite,debit,2023,5,2,Tuesday,2,FALSE,1
2023-05-02,RETRAIT XX XX XX,-32,3555.97,AUTRE,RETRAIT,petite,debit,2023,5,2,Tuesday,2,FALSE,1
2023-05-03,CARTE XX XX RAPT XX,-73,3523.97,TRANSPORT,CARTE,petite,debit,2023,5,3,Wednesday,3,FALSE,1
2023-05-03,CARTE XX XX XX XX,-14.39,3450.97,AUTRE,CARTE,petite,debit,2023,5,3,Wednesday,3,FALSE,1
2023-05-04,CARTE XX XX LES ANCIENS ROBINSON XX,-17.16,3436.58,COURSES,CARTE,petite,debit,2023,5,4,Thursday,4,FALSE,1
2023-05-04,VIREMENT XX XX XX XX XX XX XX XX XX XX XX XX,676,3419.42,AUTRE,VIREMENT,(pas une dépense),credit,2023,5,4,Thursday,4,FALSE,1
2023-05-05,CARTE XX XX TOUPTIPRI XX,-3.48,4095.42,COURSES,CARTE,petite,debit,2023,5,5,Friday,5,FALSE,1
2023-05-06,FORFAIT COMPTE SUPERBANK XX XX XX XX,-1.84,4091.94,COTISATION BANCAIRE,AUTRE,petite,debit,2023,5,6,Saturday,6,TRUE,1
2023-05-09,PRELEVEMENT XX TELEPHONE XX XX,-7.02,4090.1,FACTURE TELEPHONE,AUTRE,petite,debit,2023,5,9,Tuesday,2,FALSE,2
2023-05-09,CARTE XX XX XX XX,-1.6,4083.08,AUTRE,CARTE,petite,debit,2023,5,9,Tuesday,2,FALSE,2
2023-05-09,CARTE XX XX XX XX,-1.12,4081.48,AUTRE,CARTE,petite,debit,2023,5,9,Tuesday,2,FALSE,2
2023-05-09,CARTE XX XX XX XX,-1.44,4080.36,AUTRE,CARTE,petite,debit,2023,5,9,Tuesday,2,FALSE,2
2023-05-09,CARTE XX XX XX XX XX,-32,4078.92,AUTRE,CARTE,petite,debit,2023,5,9,Tuesday,2,FALSE,2
2023-05-10,CARTE XX XX CHEZ LUC XX,-9.6,4046.92,RESTAURANT,CARTE,petite,debit,2023,5,10,Wednesday,3,FALSE,2
2023-05-10,CARTE XX XX LES ANCIENS ROBINSON XX,-42.45,4037.32,COURSES,CARTE,petite,debit,2023,5,10,Wednesday,3,FALSE,2
2023-05-11,CARTE XX XX XX XX XX,-1.6,3994.87,AUTRE,CARTE,petite,debit,2023,5,11,Thursday,4,FALSE,2
2023-05-12,CARTE XX XX XX XX,-5.6,3993.27,AUTRE,CARTE,petite,debit,2023,5,12,Friday,5,FALSE,2
2023-05-15,VIREMENT PERMANENT LOYER,-345,3987.67,LOYER,VIREMENT,grosse,debit,2023,5,15,Monday,1,FALSE,2
2023-05-15,CARTE XX XX LES ANCIENS ROBINSON XX,-33.55,3642.67,COURSES,CARTE,petite,debit,2023,5,15,Monday,1,FALSE,2
2023-05-15,CARTE XX XX CHEZ LUC XX,-11,3609.12,RESTAURANT,CARTE,petite,debit,2023,5,15,Monday,1,FALSE,2
2023-05-15,CARTE XX XX TOUPTIPRI XX,-12.96,3598.12,COURSES,CARTE,petite,debit,2023,5,15,Monday,1,FALSE,2
2023-05-15,CARTE XX XX XX XX XX XX,-8,3585.16,AUTRE,CARTE,petite,debit,2023,5,15,Monday,1,FALSE,2
2023-05-18,CARTE XX XX XX XX XX,-1.6,3577.16,AUTRE,CARTE,petite,debit,2023,5,18,Thursday,4,FALSE,3
2023-05-19,CARTE XX XX XX XX,-12,3575.56,AUTRE,CARTE,petite,debit,2023,5,19,Friday,5,FALSE,3
2023-05-22,CARTE XX XX CHEZ LUC XX,-11.4,3563.56,RESTAURANT,CARTE,petite,debit,2023,5,22,Monday,1,FALSE,3
2023-05-22,RETRAIT XX XX XX,-32,3552.16,AUTRE,RETRAIT,petite,debit,2023,5,22,Monday,1,FALSE,3
2023-05-22,CARTE XX XX XX XX XX XX,-2.4,3520.16,AUTRE,CARTE,petite,debit,2023,5,22,Monday,1,FALSE,3
2023-05-22,CARTE XX XX XX XX XX XX,-9.72,3517.76,AUTRE,CARTE,petite,debit,2023,5,22,Monday,1,FALSE,3
2023-05-22,VIREMENT XX XX XX XX XX XX XX,936.32,3508.04,AUTRE,VIREMENT,(pas une dépense),credit,2023,5,22,Monday,1,FALSE,3
2023-05-22,CARTE XX XX LA CCNCF XX XX,-138.24,4444.36,TRANSPORT,CARTE,moyenne,debit,2023,5,22,Monday,1,FALSE,3
2023-05-23,CARTE XX XX XX XX,-3.2,4306.12,AUTRE,CARTE,petite,debit,2023,5,23,Tuesday,2,FALSE,3
2023-05-23,CARTE XX XX LES ANCIENS ROBINSON XX,-4.41,4302.92,COURSES,CARTE,petite,debit,2023,5,23,Tuesday,2,FALSE,3
2023-05-24,CARTE XX XX XX XX XX,-7.84,4298.51,AUTRE,CARTE,petite,debit,2023,5,24,Wednesday,3,FALSE,3
2023-05-24,CARTE XX XX L'EPICERIE DEMBAS XX XX,-15.81,4290.67,AUTRE,CARTE,petite,debit,2023,5,24,Wednesday,3,FALSE,3
2023-05-29,RETRAIT XX XX XX,-48,4274.86,AUTRE,RETRAIT,petite,debit,2023,5,29,Monday,1,FALSE,4
2023-05-29,CARTE XX XX XX XX XX,-14.16,4226.86,AUTRE,CARTE,petite,debit,2023,5,29,Monday,1,FALSE,4
2023-05-29,CARTE XX XX LES ANCIENS ROBINSON XX,-22.59,4212.7,COURSES,CARTE,petite,debit,2023,5,29,Monday,1,FALSE,4
2023-05-31,CARTE XX XX CHEZ LUC XX,-7.74,4190.11,RESTAURANT,CARTE,petite,debit,2023,5,31,Wednesday,3,FALSE,4
2023-05-31,CARTE XX XX LES ANCIENS ROBINSON XX,-6.89,4182.37,COURSES,CARTE,petite,debit,2023,5,31,Wednesday,3,FALSE,4
2023-05-31,DON XX XX XX XX XX XX XX,-1.44,4175.48,AUTRE,DON,petite,debit,2023,5,31,Wednesday,3,FALSE,4
2023-05-31,XX XX VIREMENT XX XX XX,-36,4174.04,AUTRE,VIREMENT,petite,debit,2023,5,31,Wednesday,3,FALSE,4
2023-06-02,CARTE XX XX RAPT XX,-73,4138.04,TRANSPORT,CARTE,petite,debit,2023,6,2,Friday,5,FALSE,1
2023-06-06,CARTE XX XX XX XX,-5.1,4065.04,AUTRE,CARTE,petite,debit,2023,6,6,Tuesday,2,FALSE,1
2023-06-06,FORFAIT COMPTE SUPERBANK XX XX XX XX,-1.84,4059.94,COTISATION BANCAIRE,AUTRE,petite,debit,2023,6,6,Tuesday,2,FALSE,1
2023-06-06,CARTE XX XX XX XX,-14.39,4058.1,AUTRE,CARTE,petite,debit,2023,6,6,Tuesday,2,FALSE,1
2023-06-06,CARTE XX XX XX XX XX XX,-10.4,4043.71,AUTRE,CARTE,petite,debit,2023,6,6,Tuesday,2,FALSE,1
2023-06-06,VIREMENT XX XX XX XX XX XX XX XX XX XX XX XX,676,4033.31,AUTRE,VIREMENT,(pas une dépense),credit,2023,6,6,Tuesday,2,FALSE,1
2023-06-06,CARTE XX XX XX XX XX,-20.4,4709.31,AUTRE,CARTE,petite,debit,2023,6,6,Tuesday,2,FALSE,1
2023-06-07,PRELEVEMENT XX TELEPHONE XX XX,-6.38,4688.91,FACTURE TELEPHONE,AUTRE,petite,debit,2023,6,7,Wednesday,3,FALSE,1
2023-06-12,CARTE XX XX TOUPTIPRI XX,-2.51,4682.53,COURSES,CARTE,petite,debit,2023,6,12,Monday,1,FALSE,2
2023-06-12,CARTE XX XX LES ANCIENS ROBINSON XX,-4.63,4680.02,COURSES,CARTE,petite,debit,2023,6,12,Monday,1,FALSE,2
2023-06-12,CARTE XX XX TOUPTIPRI XX,-5.88,4675.39,COURSES,CARTE,petite,debit,2023,6,12,Monday,1,FALSE,2
2023-06-12,CARTE XX XX XX XX XX XX,-2.32,4669.51,AUTRE,CARTE,petite,debit,2023,6,12,Monday,1,FALSE,2
2023-06-12,CARTE XX XX LES ANCIENS ROBINSON XX,-26.58,4667.19,COURSES,CARTE,petite,debit,2023,6,12,Monday,1,FALSE,2
2023-06-12,CARTE XX XX CHEZ LUC XX,-9.2,4640.61,RESTAURANT,CARTE,petite,debit,2023,6,12,Monday,1,FALSE,2
2023-06-13,CARTE XX XX XX XX XX XX,-7.99,4631.41,AUTRE,CARTE,petite,debit,2023,6,13,Tuesday,2,FALSE,2
2023-06-15,CARTE XX XX XX XX XX,-19.2,4623.42,AUTRE,CARTE,petite,debit,2023,6,15,Thursday,4,FALSE,2
2023-06-15,CARTE XX XX XX XX XX XX XX,-15.99,4604.22,AUTRE,CARTE,petite,debit,2023,6,15,Thursday,4,FALSE,2
2023-06-15,VIREMENT PERMANENT LOYER,-345,4588.23,LOYER,VIREMENT,grosse,debit,2023,6,15,Thursday,4,FALSE,2
2023-06-16,CARTE XX XX XX XX XX,-8,4243.23,AUTRE,CARTE,petite,debit,2023,6,16,Friday,5,FALSE,2
2023-06-16,CARTE XX XX LES ANCIENS ROBINSON XX,-4.39,4235.23,COURSES,CARTE,petite,debit,2023,6,16,Friday,5,FALSE,2
2023-06-19,CARTE XX XX XX XX XX XX,-2.4,4230.84,AUTRE,CARTE,petite,debit,2023,6,19,Monday,1,FALSE,3
2023-06-19,CARTE XX XX XX XX XX,-10.2,4228.44,AUTRE,CARTE,petite,debit,2023,6,19,Monday,1,FALSE,3
2023-06-19,CARTE XX XX XX XX,-18.24,4218.24,AUTRE,CARTE,petite,debit,2023,6,19,Monday,1,FALSE,3
2023-06-19,CARTE XX XX LA LOUVE XX XX,-18.45,4200,COURSES,CARTE,petite,debit,2023,6,19,Monday,1,FALSE,3
2023-06-19,CARTE XX XX LES ANCIENS ROBINSON XX,-9.31,4181.55,COURSES,CARTE,petite,debit,2023,6,19,Monday,1,FALSE,3
2023-06-20,CARTE XX XX VELOC XX XX,-29,4172.24,TRANSPORT,CARTE,petite,debit,2023,6,20,Tuesday,2,FALSE,3
2023-06-20,CARTE XX XX L'EPICERIE DEMBAS XX XX,-10.05,4143.24,AUTRE,CARTE,petite,debit,2023,6,20,Tuesday,2,FALSE,3
2023-06-21,CARTE XX XX XX XX,-2.72,4133.19,AUTRE,CARTE,petite,debit,2023,6,21,Wednesday,3,FALSE,3
2023-06-22,CARTE XX XX XX XX XX,-8.8,4130.47,AUTRE,CARTE,petite,debit,2023,6,22,Thursday,4,FALSE,3
2023-06-22,CARTE XX XX XX XX XX,-7.12,4121.67,AUTRE,CARTE,petite,debit,2023,6,22,Thursday,4,FALSE,3
2023-06-23,CARTE XX XX XX XX XX,-19.84,4114.55,AUTRE,CARTE,petite,debit,2023,6,23,Friday,5,FALSE,3
2023-06-23,CARTE XX XX XX XX XX XX,-19.36,4094.71,AUTRE,CARTE,petite,debit,2023,6,23,Friday,5,FALSE,3
2023-06-23,CARTE XX XX XX XX XX,-10.4,4075.35,AUTRE,CARTE,petite,debit,2023,6,23,Friday,5,FALSE,3
2023-06-26,CARTE XX XX XX XX XX XX,-8,4064.95,AUTRE,CARTE,petite,debit,2023,6,26,Monday,1,FALSE,4
2023-06-26,CARTE XX XX TOUPTIPRI XX,-6.6,4056.95,COURSES,CARTE,petite,debit,2023,6,26,Monday,1,FALSE,4
2023-06-26,CARTE XX XX LA LOUVE XX XX,-27.68,4050.35,COURSES,CARTE,petite,debit,2023,6,26,Monday,1,FALSE,4
2023-06-26,CARTE XX XX XX XX XX,-17.2,4022.67,AUTRE,CARTE,petite,debit,2023,6,26,Monday,1,FALSE,4
2023-06-26,CARTE XX XX XX XX XX,-29.52,4005.47,AUTRE,CARTE,petite,debit,2023,6,26,Monday,1,FALSE,4
2023-06-26,CARTE XX XX XX XX,-96,3975.95,AUTRE,CARTE,moyenne,debit,2023,6,26,Monday,1,FALSE,4
2023-06-26,CARTE XX XX XX XX XX XX,-24.48,3879.95,AUTRE,CARTE,petite,debit,2023,6,26,Monday,1,FALSE,4
2023-06-26,CARTE XX XX XX XX,-183.99,3855.47,AUTRE,CARTE,moyenne,debit,2023,6,26,Monday,1,FALSE,4
2023-06-27,RETRAIT XX XX XX,-40,3671.48,AUTRE,RETRAIT,petite,debit,2023,6,27,Tuesday,2,FALSE,4
2023-06-27,CARTE XX XX L'EPICERIE DEMBAS XX XX,-11.44,3631.48,AUTRE,CARTE,petite,debit,2023,6,27,Tuesday,2,FALSE,4
2023-06-27,CARTE XX XX L'EPICERIE DEMBAS XX XX,-10.95,3620.04,AUTRE,CARTE,petite,debit,2023,6,27,Tuesday,2,FALSE,4
2023-06-28,CARTE XX XX LES ANCIENS ROBINSON XX,-12.49,3609.09,COURSES,CARTE,petite,debit,2023,6,28,Wednesday,3,FALSE,4
2023-06-28,CARTE XX XX XX XX XX,-7.12,3596.6,AUTRE,CARTE,petite,debit,2023,6,28,Wednesday,3,FALSE,4
2023-06-30,CARTE XX XX LA CCNCF XX XX,-23.85,3589.48,TRANSPORT,CARTE,petite,debit,2023,6,30,Friday,5,FALSE,4
2023-06-30,DON XX XX XX XX XX XX XX,-1.76,3565.63,AUTRE,DON,petite,debit,2023,6,30,Friday,5,FALSE,4
2023-06-30,XX XX VIREMENT XX XX XX,-36,3563.87,AUTRE,VIREMENT,petite,debit,2023,6,30,Friday,5,FALSE,4
2023-07-03,CARTE XX XX XX XX XX,-19.93,3527.87,AUTRE,CARTE,petite,debit,2023,7,3,Monday,1,FALSE,1
2023-07-03,XX XX CARTE XX XX XX,-13.06,3507.94,AUTRE,CARTE,petite,debit,2023,7,3,Monday,1,FALSE,1
2023-07-03,CARTE XX XX XX XX,-14.39,3494.88,AUTRE,CARTE,petite,debit,2023,7,3,Monday,1,FALSE,1
2023-07-03,CARTE XX XX XX XX,-1.12,3480.49,AUTRE,CARTE,petite,debit,2023,7,3,Monday,1,FALSE,1
2023-07-03,CARTE XX XX XX XX,-8.8,3479.37,AUTRE,CARTE,petite,debit,2023,7,3,Monday,1,FALSE,1
2023-07-03,CARTE XX XX RAPT XX,-73,3470.57,TRANSPORT,CARTE,petite,debit,2023,7,3,Monday,1,FALSE,1
2023-07-03,CARTE XX XX XX XX XX,-48,3397.57,AUTRE,CARTE,petite,debit,2023,7,3,Monday,1,FALSE,1
2023-07-03,RETRAIT XX XX XX,-40,3349.57,AUTRE,RETRAIT,petite,debit,2023,7,3,Monday,1,FALSE,1
2023-07-03,CARTE XX XX RAPT XX,-73,3309.57,TRANSPORT,CARTE,petite,debit,2023,7,3,Monday,1,FALSE,1
2023-07-03,CARTE XX XX XX XX XX XX XX XX,-602.27,3236.57,AUTRE,CARTE,grosse,debit,2023,7,3,Monday,1,FALSE,1
2023-07-05,VIREMENT XX XX XX XX XX XX XX XX XX XX XX XX,676,2634.3,AUTRE,VIREMENT,(pas une dépense),credit,2023,7,5,Wednesday,3,FALSE,1
2023-07-06,CARTE XX XX XX XX XX,-14.62,3310.3,AUTRE,CARTE,petite,debit,2023,7,6,Thursday,4,FALSE,1
2023-07-06,PRELEVEMENT XX TELEPHONE XX XX,-36.48,3295.68,FACTURE TELEPHONE,AUTRE,petite,debit,2023,7,6,Thursday,4,FALSE,1
2023-07-06,FORFAIT COMPTE SUPERBANK XX XX XX XX,-1.92,3259.2,COTISATION BANCAIRE,AUTRE,petite,debit,2023,7,6,Thursday,4,FALSE,1
2023-07-07,CARTE XX XX XX XX XX,-29.2,3257.28,AUTRE,CARTE,petite,debit,2023,7,7,Friday,5,FALSE,1
2023-07-10,CARTE XX XX LA CCNCF XX,-53.1,3228.08,TRANSPORT,CARTE,petite,debit,2023,7,10,Monday,1,FALSE,2
2023-07-10,CARTE XX XX XX XX LA CCNCF XX,-1.53,3174.98,TRANSPORT,CARTE,petite,debit,2023,7,10,Monday,1,FALSE,2
2023-07-10,CARTE XX XX XX XX XX,-9.52,3173.45,AUTRE,CARTE,petite,debit,2023,7,10,Monday,1,FALSE,2
2023-07-10,CARTE XX XX XX XX LA CCNCF XX,-1.08,3163.93,TRANSPORT,CARTE,petite,debit,2023,7,10,Monday,1,FALSE,2
2023-07-11,CARTE XX XX CHEZ LUC XX,-14.4,3162.85,RESTAURANT,CARTE,petite,debit,2023,7,11,Tuesday,2,FALSE,2
2023-07-12,CARTE XX XX XX XX,-8,3148.45,AUTRE,CARTE,petite,debit,2023,7,12,Wednesday,3,FALSE,2
2023-07-13,CARTE XX XX TOUPTIPRI XX,-9.88,3140.45,COURSES,CARTE,petite,debit,2023,7,13,Thursday,4,FALSE,2
2023-07-15,VIREMENT PERMANENT LOYER,-345,3130.57,LOYER,VIREMENT,grosse,debit,2023,7,15,Saturday,6,TRUE,2
2023-07-19,CARTE XX XX XX XX XX,-4.88,2785.57,AUTRE,CARTE,petite,debit,2023,7,19,Wednesday,3,FALSE,3
2023-07-19,CARTE XX XX XX XX,-104,2780.69,AUTRE,CARTE,moyenne,debit,2023,7,19,Wednesday,3,FALSE,3
2023-07-19,CARTE XX XX XX XX,-12.48,2676.69,AUTRE,CARTE,petite,debit,2023,7,19,Wednesday,3,FALSE,3
2023-07-20,CARTE XX XX LA CCNCF XX XX,-190.8,2664.21,TRANSPORT,CARTE,moyenne,debit,2023,7,20,Thursday,4,FALSE,3
2023-07-21,CARTE XX XX XX XX,-13.6,2473.41,AUTRE,CARTE,petite,debit,2023,7,21,Friday,5,FALSE,3
2023-07-21,CARTE XX XX L'EPICERIE DEMBAS XX XX,-6.49,2459.81,AUTRE,CARTE,petite,debit,2023,7,21,Friday,5,FALSE,3
2023-07-21,CARTE XX XX XX XX XX,-4.8,2453.32,AUTRE,CARTE,petite,debit,2023,7,21,Friday,5,FALSE,3
2023-07-24,CARTE XX XX XX XX XX,-20.8,2448.52,AUTRE,CARTE,petite,debit,2023,7,24,Monday,1,FALSE,3
2023-07-24,CARTE XX XX CHEZ LUC XX,-9.2,2427.72,RESTAURANT,CARTE,petite,debit,2023,7,24,Monday,1,FALSE,3
2023-07-24,CARTE XX XX XX XX XX XX,-4.8,2418.52,AUTRE,CARTE,petite,debit,2023,7,24,Monday,1,FALSE,3
2023-07-24,CARTE XX XX XX XX XX,-9.6,2413.72,AUTRE,CARTE,petite,debit,2023,7,24,Monday,1,FALSE,3
2023-07-24,RETRAIT XX XX XX,-32,2404.12,AUTRE,RETRAIT,petite,debit,2023,7,24,Monday,1,FALSE,3
2023-07-24,CARTE XX XX XX XX XX,-4.88,2372.12,AUTRE,CARTE,petite,debit,2023,7,24,Monday,1,FALSE,3
2023-07-25,CARTE XX XX LES ANCIENS ROBINSON XX,-60.16,2367.24,COURSES,CARTE,petite,debit,2023,7,25,Tuesday,2,FALSE,4
2023-07-25,VIREMENT XX XX XX XX XX XX XX,1071.6,2307.08,AUTRE,VIREMENT,(pas une dépense),credit,2023,7,25,Tuesday,2,FALSE,4
2023-07-26,CARTE XX XX L'EPICERIE DEMBAS XX XX,-7.54,3378.68,AUTRE,CARTE,petite,debit,2023,7,26,Wednesday,3,FALSE,4
2023-07-27,CARTE XX XX L'EPICERIE DEMBAS XX XX,-8.14,3371.14,AUTRE,CARTE,petite,debit,2023,7,27,Thursday,4,FALSE,4
2023-07-28,CARTE XX XX L'EPICERIE DEMBAS XX XX,-11.2,3363,AUTRE,CARTE,petite,debit,2023,7,28,Friday,5,FALSE,4
2023-07-31,XX XX VIREMENT XX XX XX,-36,3351.8,AUTRE,VIREMENT,petite,debit,2023,7,31,Monday,1,FALSE,4
2023-07-31,CARTE XX XX XX XX XX XX,-8,3315.8,AUTRE,CARTE,petite,debit,2023,7,31,Monday,1,FALSE,4
2023-07-31,CARTE XX XX XX XX XX XX XX,-32.44,3307.8,AUTRE,CARTE,petite,debit,2023,7,31,Monday,1,FALSE,4
2023-07-31,CARTE XX XX LES ANCIENS ROBINSON XX,-0.94,3275.36,COURSES,CARTE,petite,debit,2023,7,31,Monday,1,FALSE,4
