identifiant_transaction,date_operation,date_valeur,libelle,debit,credit,solde
287,2023-09-07,2023-09-07,CARTE XX XX XX XX,-11.20,,3537.13
90,2023-09-06,2023-09-06,FORFAIT COMPTE SUPERBANK XX XX XX XX,-1.92,,3548.33
57,2023-09-06,2023-09-06,CARTE XX XX L'EPICERIE DEMBAS XX XX,-11.12,,3550.25
187,2023-09-05,2023-09-05,CARTE XX XX XX XX XX,-0.80,,3561.37
130,2023-09-05,2023-09-05,CARTE XX XX XX XX XX,-6.39,,3562.17
19,2023-09-05,2023-09-05,PRELEVEMENT XX TELEPHONE XX XX,-6.38,,3568.56
223,2023-09-04,2023-09-04,CARTE XX XX TOUPTIPRI XX,-13.59,,3574.94
176,2023-09-04,2023-09-04,VIREMENT XX XX XX XX XX XX XX XX XX XX XX XX,,676.00,3588.53
42,2023-09-04,2023-09-04,CARTE XX XX RAPT XX,-75.20,,2912.53
41,2023-09-04,2023-09-04,CARTE XX XX CHEZ LUC XX,-10.40,,2987.73
9,2023-09-04,2023-09-04,CARTE XX XX XX XX,-14.39,,2998.13
1,2023-09-04,2023-09-04,CARTE XX XX XX XX,-3.60,,3012.52
113,2023-08-31,2023-08-31,DON XX XX XX XX XX XX XX,-2.28,,3078.31
47,2023-08-31,2023-08-31,CARTE XX XX XX XX XX,-2.44,,3080.59
280,2023-08-31,2023-09-01,XX XX VIREMENT XX XX XX,-36.00,,3042.31
296,2023-08-31,2023-08-31,CARTE XX XX LA LOUVE XX XX,-26.19,,3016.12
156,2023-08-29,2023-08-29,CARTE XX XX XX XX,-2.45,,3083.03
264,2023-08-28,2023-08-28,CARTE XX XX XX XX XX,-12.00,,3085.48
181,2023-08-28,2023-08-28,CARTE XX XX XX XX XX XX,-43.60,,3097.48
82,2023-08-28,2023-08-28,RETRAIT XX XX XX,-32.00,,3141.08
66,2023-08-28,2023-08-28,CARTE XX XX LA LOUVE XX XX,-29.18,,3173.08
17,2023-08-28,2023-08-28,CARTE XX XX XX XX XX,-9.80,,3202.26
301,2023-08-25,2023-08-25,CARTE XX XX XX XX XX,-6.40,,3212.06
125,2023-08-25,2023-08-25,CARTE XX XX XX XX,-2.01,,3218.46
68,2023-08-25,2023-08-25,CARTE XX XX VELOC XX XX,-5.00,,3220.47
147,2023-08-24,2023-08-24,CARTE XX XX L'EPICERIE DEMBAS XX XX,-11.97,,3225.47
291,2023-08-22,2023-08-22,CARTE XX XX LES ANCIENS ROBINSON XX,-10.91,,3237.44
106,2023-08-22,2023-08-22,CARTE XX XX XX XX XX,-0.80,,3248.35
53,2023-08-22,2023-08-22,CARTE XX XX XX XX XX,-3.78,,3249.15
93,2023-08-21,2023-08-21,CARTE XX XX XX XX XX,-1.68,,3270.28
75,2023-08-21,2023-08-21,CARTE XX XX CHEZ LUC XX,-12.84,,3271.96
192,2023-08-21,2023-08-21,CARTE XX XX XX XX XX,-10.23,,3260.05
200,2023-08-21,2023-08-21,CARTE XX XX XX XX XX,-7.12,,3252.93
146,2023-08-18,2023-08-18,CARTE XX XX XX XX,-4.79,,3284.80
65,2023-08-18,2023-08-18,CARTE XX XX XX XX XX XX,-2.40,,3289.59
210,2023-08-17,2023-08-17,CARTE XX XX LES ANCIENS ROBINSON XX,-28.11,,3291.99
206,2023-08-17,2023-08-17,CARTE XX XX XX XX XX XX,-0.80,,3320.10
92,2023-08-17,2023-08-17,CARTE XX XX XX XX XX XX,-2.00,,3320.90
32,2023-08-17,2023-08-17,CARTE XX XX XX XX XX XX,-2.00,,3322.90
152,2023-08-16,2023-08-16,CARTE XX XX XX XX XX,-23.20,,3324.90
151,2023-08-16,2023-08-16,CARTE XX XX XX XX XX,-3.92,,3348.10
31,2023-08-16,2023-08-16,CARTE XX XX XX XX XX XX,-53.76,,3352.02
259,2023-08-15,2022-08-15,VIREMENT PERMANENT LOYER,-345.00,,3405.78
275,2023-08-14,2023-08-14,CARTE XX XX XX XX XX,-17.44,,3750.78
225,2023-08-14,2023-08-14,CARTE XX XX CHEZ LUC XX,-10.40,,3768.22
185,2023-08-14,2023-08-14,CARTE XX XX XX XX XX XX,-4.00,,3778.62
154,2023-08-14,2023-08-14,CARTE XX XX XX XX XX XX,-3.20,,3782.62
73,2023-08-14,2023-08-14,CARTE XX XX XX XX XX XX,-2.40,,3785.82
40,2023-08-14,2023-08-14,CARTE XX XX XX XX,-11.70,,3788.22
290,2023-08-10,2023-08-10,CARTE XX XX XX XX XX XX XX XX,-3.28,,3799.92
3,2023-08-09,2023-08-09,CARTE XX XX XX XX XX,-8.00,,3803.20
227,2023-08-08,2023-08-08,CARTE XX XX L'EPICERIE DEMBAS XX XX,-7.54,,3813.35
51,2023-08-08,2023-08-08,CARTE XX XX XX XX XX XX XX XX,-0.96,,3820.89
255,2023-08-08,2023-08-08,CARTE XX XX XX XX XX XX XX XX,-1.19,,3812.16
286,2023-08-08,2023-08-08,CARTE XX XX XX XX XX XX XX XX,-0.96,,3811.20
294,2023-08-07,2023-08-07,CARTE XX XX XX XX XX,-1.60,,3821.85
292,2023-08-07,2023-08-07,PRELEVEMENT XX TELEPHONE XX XX,-7.46,,3823.45
253,2023-08-07,2023-08-07,CARTE XX XX XX XX XX,-1.60,,3830.91
234,2023-08-07,2023-08-07,CARTE XX XX XX XX XX,-10.88,,3832.51
169,2023-08-07,2023-08-07,CARTE XX XX LES ANCIENS ROBINSON XX,-21.73,,3843.39
164,2023-08-07,2023-08-07,CARTE XX XX XX XX XX XX,-2.00,,3865.12
49,2023-08-06,2023-08-06,FORFAIT COMPTE SUPERBANK XX XX XX XX,-1.92,,3867.12
129,2023-08-04,2023-08-04,CARTE XX XX XX XX XX,-17.20,,3869.04
159,2023-08-03,2023-08-03,CARTE XX XX CHEZ LUC XX,-10.20,,3886.24
54,2023-08-03,2023-08-03,VIREMENT XX XX XX XX XX XX XX XX XX XX XX XX,,676.00,3906.95
6,2023-08-03,2023-08-03,CARTE XX XX XX XX,-14.39,,3230.95
158,2023-08-03,2023-08-03,CARTE XX XX L'EPICERIE DEMBAS XX XX,-10.51,,3896.44
209,2023-08-02,2023-08-02,CARTE XX XX RAPT XX,-75.20,,3245.34
228,2023-08-01,2023-08-01,CARTE XX XX L'EPICERIE DEMBAS XX XX,-9.82,,3320.54
140,2023-07-31,2023-08-01,XX XX VIREMENT XX XX XX,-36.00,,3428.65
161,2023-07-31,2023-07-31,CARTE XX XX XX XX XX XX,-8.00,,3420.65
186,2023-07-31,2023-07-31,CARTE XX XX XX XX XX XX XX,-32.44,,3386.77
136,2023-07-31,2023-07-31,CARTE XX XX LES ANCIENS ROBINSON XX,-0.94,,3464.65
163,2023-07-31,2023-07-31,DON XX XX XX XX XX XX XX,-1.44,,3419.21
241,2023-07-31,2023-07-31,CARTE XX XX LA LOUVE XX XX,-23.43,,3332.76
207,2023-07-31,2023-07-31,CARTE XX XX XX XX XX,-9.78,,3376.99
230,2023-07-31,2023-07-31,CARTE XX XX XX XX XX XX,-2.40,,3356.19
243,2023-07-31,2023-07-31,CARTE XX XX XX XX XX XX,-2.40,,3330.36
211,2023-07-31,2023-07-31,CARTE XX XX XX XX,-18.40,,3358.59
189,2023-07-28,2023-07-28,CARTE XX XX L'EPICERIE DEMBAS XX XX,-11.20,,3465.59
194,2023-07-27,2023-07-27,CARTE XX XX L'EPICERIE DEMBAS XX XX,-8.14,,3476.79
269,2023-07-26,2023-07-26,CARTE XX XX L'EPICERIE DEMBAS XX XX,-7.54,,3484.93
134,2023-07-25,2023-07-25,CARTE XX XX LES ANCIENS ROBINSON XX,-60.16,,3492.47
22,2023-07-25,2023-07-25,VIREMENT XX XX XX XX XX XX XX,,1071.60,3552.63
219,2023-07-24,2023-07-24,CARTE XX XX XX XX XX,-20.80,,2481.03
166,2023-07-24,2023-07-24,CARTE XX XX CHEZ LUC XX,-9.20,,2501.83
135,2023-07-24,2023-07-24,CARTE XX XX XX XX XX XX,-4.80,,2511.03
105,2023-07-24,2023-07-24,CARTE XX XX XX XX XX,-9.60,,2515.83
88,2023-07-24,2023-07-24,RETRAIT XX XX XX,-32.00,,2525.43
67,2023-07-24,2023-07-24,CARTE XX XX XX XX XX,-4.88,,2557.43
115,2023-07-21,2023-07-21,CARTE XX XX XX XX,-13.60,,2567.11
18,2023-07-21,2023-07-21,CARTE XX XX L'EPICERIE DEMBAS XX XX,-6.49,,2580.71
304,2023-07-21,2023-07-21,CARTE XX XX XX XX XX,-4.80,,2562.31
117,2023-07-20,2023-07-20,CARTE XX XX LA CCNCF XX XX,-190.80,,2587.20
177,2023-07-19,2023-07-19,CARTE XX XX XX XX XX,-4.88,,2778.00
99,2023-07-19,2023-07-19,CARTE XX XX XX XX,-104.00,,2782.88
56,2023-07-19,2023-07-19,CARTE XX XX XX XX,-12.48,,2886.88
16,2023-07-15,2022-07-15,VIREMENT PERMANENT LOYER,-345.00,,2899.36
224,2023-07-13,2023-07-13,CARTE XX XX TOUPTIPRI XX,-9.88,,3244.36
263,2023-07-12,2023-07-12,CARTE XX XX XX XX,-8.00,,3254.24
281,2023-07-11,2023-07-11,CARTE XX XX CHEZ LUC XX,-14.40,,3262.24
289,2023-07-10,2023-07-10,CARTE XX XX LA CCNCF XX,-53.10,,3276.64
183,2023-07-10,2023-07-10,CARTE XX XX XX XX LA CCNCF XX,-1.53,,3329.74
118,2023-07-10,2023-07-10,CARTE XX XX XX XX XX,-9.52,,3331.27
5,2023-07-10,2023-07-10,CARTE XX XX XX XX LA CCNCF XX,-1.08,,3340.79
20,2023-07-07,2023-07-07,CARTE XX XX XX XX XX,-29.20,,3341.87
214,2023-07-06,2023-07-06,CARTE XX XX XX XX XX,-14.62,,3371.07
157,2023-07-06,2023-07-06,PRELEVEMENT XX TELEPHONE XX XX,-36.48,,3385.69
89,2023-07-06,2023-07-06,FORFAIT COMPTE SUPERBANK XX XX XX XX,-1.92,,3422.17
226,2023-07-05,2023-07-05,VIREMENT XX XX XX XX XX XX XX XX XX XX XX XX,,676.00,3424.09
307,2023-07-03,2023-07-03,CARTE XX XX XX XX XX,-19.93,,2748.09
266,2023-07-03,2023-07-03,XX XX CARTE XX XX XX,-13.06,,3370.29
216,2023-07-03,2023-07-03,CARTE XX XX XX XX,-14.39,,3383.35
191,2023-07-03,2023-07-03,CARTE XX XX XX XX,-1.12,,3397.74
162,2023-07-03,2023-07-03,CARTE XX XX XX XX,-8.80,,3398.86
145,2023-07-03,2023-07-03,CARTE XX XX RAPT XX,-73.00,,3407.66
139,2023-07-03,2023-07-03,CARTE XX XX XX XX XX,-48.00,,3480.66
85,2023-07-03,2023-07-03,RETRAIT XX XX XX,-40.00,,3528.66
76,2023-07-03,2023-07-03,CARTE XX XX RAPT XX,-73.00,,3568.66
282,2023-07-03,2023-07-03,CARTE XX XX XX XX XX XX XX XX,-602.27,,2768.02
62,2023-06-30,2023-06-30,CARTE XX XX LA CCNCF XX XX,-23.85,,3679.42
114,2023-06-30,2023-06-30,DON XX XX XX XX XX XX XX,-1.76,,3677.66
212,2023-06-30,2023-07-01,XX XX VIREMENT XX XX XX,-36.00,,3641.66
298,2023-06-28,2023-06-28,CARTE XX XX LES ANCIENS ROBINSON XX,-12.49,,3703.27
79,2023-06-28,2023-06-28,CARTE XX XX XX XX XX,-7.12,,3715.76
250,2023-06-27,2023-06-27,RETRAIT XX XX XX,-40.00,,3722.88
101,2023-06-27,2023-06-27,CARTE XX XX L'EPICERIE DEMBAS XX XX,-11.44,,3762.88
100,2023-06-27,2023-06-27,CARTE XX XX L'EPICERIE DEMBAS XX XX,-10.95,,3774.32
127,2023-06-26,2023-06-26,CARTE XX XX XX XX XX XX,-8.00,,4119.26
4,2023-06-26,2023-06-26,CARTE XX XX TOUPTIPRI XX,-6.60,,4172.14
81,2023-06-26,2023-06-26,CARTE XX XX LA LOUVE XX XX,-27.68,,4144.46
103,2023-06-26,2023-06-26,CARTE XX XX XX XX XX,-17.20,,4127.26
271,2023-06-26,2023-06-26,CARTE XX XX XX XX XX,-29.52,,3785.27
202,2023-06-26,2023-06-26,CARTE XX XX XX XX,-96.00,,4023.26
217,2023-06-26,2023-06-26,CARTE XX XX XX XX XX XX,-24.48,,3998.78
218,2023-06-26,2023-06-26,CARTE XX XX XX XX,-183.99,,3814.79
178,2023-06-23,2023-06-23,CARTE XX XX XX XX XX,-19.84,,4178.74
34,2023-06-23,2023-06-23,CARTE XX XX XX XX XX XX,-19.36,,4198.58
10,2023-06-23,2023-06-23,CARTE XX XX XX XX XX,-10.40,,4217.94
148,2023-06-22,2023-06-22,CARTE XX XX XX XX XX,-8.80,,4228.34
80,2023-06-22,2023-06-22,CARTE XX XX XX XX XX,-7.12,,4237.14
91,2023-06-21,2023-06-21,CARTE XX XX XX XX,-2.72,,4244.26
46,2023-06-20,2023-06-20,CARTE XX XX VELOC XX XX,-29.00,,4246.98
2,2023-06-20,2023-06-20,CARTE XX XX L'EPICERIE DEMBAS XX XX,-10.05,,4275.98
77,2023-06-19,2023-06-19,CARTE XX XX XX XX XX XX,-2.40,,4313.79
43,2023-06-19,2023-06-19,CARTE XX XX XX XX XX,-10.20,,4316.19
27,2023-06-19,2023-06-19,CARTE XX XX XX XX,-18.24,,4326.39
220,2023-06-19,2023-06-19,CARTE XX XX LA LOUVE XX XX,-18.45,,4295.34
251,2023-06-19,2023-06-19,CARTE XX XX LES ANCIENS ROBINSON XX,-9.31,,4286.03
167,2023-06-16,2023-06-16,CARTE XX XX XX XX XX,-8.00,,4344.63
72,2023-06-16,2023-06-16,CARTE XX XX LES ANCIENS ROBINSON XX,-4.39,,4352.63
229,2023-06-15,2023-06-15,CARTE XX XX XX XX XX,-19.20,,4357.02
199,2023-06-15,2023-06-15,CARTE XX XX XX XX XX XX XX,-15.99,,4376.22
83,2023-06-15,2022-06-15,VIREMENT PERMANENT LOYER,-345.00,,4392.21
279,2023-06-13,2023-06-13,CARTE XX XX XX XX XX XX,-7.99,,4737.21
172,2023-06-12,2023-06-12,CARTE XX XX TOUPTIPRI XX,-2.51,,4754.40
144,2023-06-12,2023-06-12,CARTE XX XX LES ANCIENS ROBINSON XX,-4.63,,4756.91
123,2023-06-12,2023-06-12,CARTE XX XX TOUPTIPRI XX,-5.88,,4761.54
39,2023-06-12,2023-06-12,CARTE XX XX XX XX XX XX,-2.32,,4767.42
14,2023-06-12,2023-06-12,CARTE XX XX LES ANCIENS ROBINSON XX,-26.58,,4769.74
297,2023-06-12,2023-06-12,CARTE XX XX CHEZ LUC XX,-9.20,,4745.20
258,2023-06-07,2023-06-07,PRELEVEMENT XX TELEPHONE XX XX,-6.38,,4796.32
252,2023-06-06,2023-06-06,CARTE XX XX XX XX,-5.10,,4157.50
96,2023-06-06,2023-06-06,FORFAIT COMPTE SUPERBANK XX XX XX XX,-1.84,,4176.99
150,2023-06-06,2023-06-06,CARTE XX XX XX XX,-14.39,,4162.60
265,2023-06-06,2023-06-06,CARTE XX XX XX XX XX XX,-10.40,,4147.10
302,2023-06-06,2023-06-06,VIREMENT XX XX XX XX XX XX XX XX XX XX XX XX,,676.00,4802.70
284,2023-06-06,2023-06-06,CARTE XX XX XX XX XX,-20.40,,4126.70
149,2023-06-02,2023-06-02,CARTE XX XX RAPT XX,-73.00,,4178.83
239,2023-05-31,2023-05-31,CARTE XX XX CHEZ LUC XX,-7.74,,4251.83
174,2023-05-31,2023-05-31,CARTE XX XX LES ANCIENS ROBINSON XX,-6.89,,4259.57
55,2023-05-31,2023-05-31,DON XX XX XX XX XX XX XX,-1.44,,4266.46
13,2023-05-31,2023-06-01,XX XX VIREMENT XX XX XX,-36.00,,4267.90
198,2023-05-29,2023-05-29,RETRAIT XX XX XX,-48.00,,4326.49
104,2023-05-29,2023-05-29,CARTE XX XX XX XX XX,-14.16,,4374.49
256,2023-05-29,2023-05-29,CARTE XX XX LES ANCIENS ROBINSON XX,-22.59,,4303.90
133,2023-05-24,2023-05-24,CARTE XX XX XX XX XX,-7.84,,4388.65
102,2023-05-24,2023-05-24,CARTE XX XX L'EPICERIE DEMBAS XX XX,-15.81,,4396.49
155,2023-05-23,2023-05-23,CARTE XX XX XX XX,-3.20,,4412.30
97,2023-05-23,2023-05-23,CARTE XX XX LES ANCIENS ROBINSON XX,-4.41,,4415.50
288,2023-05-22,2023-05-22,CARTE XX XX CHEZ LUC XX,-11.40,,4419.91
168,2023-05-22,2023-05-22,RETRAIT XX XX XX,-32.00,,4431.31
138,2023-05-22,2023-05-22,CARTE XX XX XX XX XX XX,-2.40,,4463.31
126,2023-05-22,2023-05-22,CARTE XX XX XX XX XX XX,-9.72,,4465.71
35,2023-05-22,2023-05-22,VIREMENT XX XX XX XX XX XX XX,,936.32,4475.43
33,2023-05-22,2023-05-22,CARTE XX XX LA CCNCF XX XX,-138.24,,3539.11
233,2023-05-19,2023-05-19,CARTE XX XX XX XX,-12.00,,3677.35
274,2023-05-18,2023-05-18,CARTE XX XX XX XX XX,-1.60,,3689.35
28,2023-05-15,2022-05-15,VIREMENT PERMANENT LOYER,-345.00,,3722.91
11,2023-05-15,2023-05-15,CARTE XX XX LES ANCIENS ROBINSON XX,-33.55,,4067.91
261,2023-05-15,2023-05-15,CARTE XX XX CHEZ LUC XX,-11.00,,3690.95
179,2023-05-15,2023-05-15,CARTE XX XX TOUPTIPRI XX,-12.96,,3709.95
204,2023-05-15,2023-05-15,CARTE XX XX XX XX XX XX,-8.00,,3701.95
190,2023-05-12,2023-05-12,CARTE XX XX XX XX,-5.60,,4101.46
23,2023-05-11,2023-05-11,CARTE XX XX XX XX XX,-1.60,,4107.06
208,2023-05-10,2023-05-10,CARTE XX XX CHEZ LUC XX,-9.60,,4108.66
8,2023-05-10,2023-05-10,CARTE XX XX LES ANCIENS ROBINSON XX,-42.45,,4118.26
175,2023-05-09,2023-05-09,PRELEVEMENT XX TELEPHONE XX XX,-7.02,,4192.71
124,2023-05-09,2023-05-09,CARTE XX XX XX XX,-1.60,,4199.73
112,2023-05-09,2023-05-09,CARTE XX XX XX XX,-1.12,,4201.33
0,2023-05-09,2023-05-09,CARTE XX XX XX XX,-1.44,,4202.45
283,2023-05-09,2023-05-09,CARTE XX XX XX XX XX,-32.00,,4160.71
116,2023-05-06,2023-05-06,FORFAIT COMPTE SUPERBANK XX XX XX XX,-1.84,,4203.89
86,2023-05-05,2023-05-05,CARTE XX XX TOUPTIPRI XX,-3.48,,4205.73
262,2023-05-04,2023-05-04,CARTE XX XX LES ANCIENS ROBINSON XX,-17.16,,4209.21
110,2023-05-04,2023-05-04,VIREMENT XX XX XX XX XX XX XX XX XX XX XX XX,,676.00,4226.37
143,2023-05-03,2023-05-03,CARTE XX XX RAPT XX,-73.00,,3564.76
232,2023-05-03,2023-05-03,CARTE XX XX XX XX,-14.39,,3550.37
248,2023-05-02,2023-05-02,CARTE XX XX TOUPTIPRI XX,-12.24,,3637.76
245,2023-05-02,2023-05-02,VIREMENT XX XX XX XX XX XX XX,,47.20,3650.00
131,2023-05-02,2023-05-02,CARTE XX XX XX XX XX XX,-8.48,,3602.80
109,2023-05-02,2023-05-02,CARTE XX XX XX XX XX,-16.70,,3611.28
21,2023-05-02,2023-05-02,CARTE XX XX XX XX XX XX,-10.40,,3627.98
12,2023-05-02,2023-05-02,RETRAIT XX XX XX,-32.00,,3638.38
15,2023-04-30,2023-05-01,XX XX VIREMENT XX XX XX,-36.00,,3670.38
222,2023-04-28,2023-04-28,CARTE XX XX LES ANCIENS ROBINSON XX,-9.11,,3707.78
246,2023-04-28,2023-04-28,DON XX XX XX XX XX XX XX,-1.40,,3706.38
213,2023-04-26,2023-04-26,CARTE XX XX XX XX XX XX,-10.00,,3716.89
119,2023-04-26,2023-04-26,CARTE XX XX LA LOUVE XX XX,-1.90,,3726.89
122,2023-04-25,2023-04-25,CARTE XX XX LES ANCIENS ROBINSON XX,-32.67,,3728.79
268,2023-04-24,2023-04-24,CARTE XX XX XX XX XX,-7.84,,3761.46
120,2023-04-24,2023-04-24,CARTE XX XX XX XX,-11.64,,3769.30
71,2023-04-24,2023-04-24,CARTE XX XX CHEZ LUC XX,-9.20,,3780.94
59,2023-04-21,2023-04-21,CARTE XX XX L'EPICERIE DEMBAS XX XX,-10.43,,3790.14
303,2023-04-20,2023-04-20,CARTE XX XX XX XX,-7.20,,3800.57
273,2023-04-19,2023-04-19,CARTE XX XX XX XX XX,-13.60,,3807.77
306,2023-04-18,2023-04-18,VIREMENT XX XX XX XX XX XX,,1.60,3821.37
257,2023-04-18,2023-04-18,CARTE XX XX XX XX XX,-10.32,,3819.77
254,2023-04-18,2023-04-18,CARTE XX XX XX XX XX,-8.72,,3830.09
240,2023-04-18,2023-04-18,RETRAIT XX XX XX,-24.00,,3838.81
61,2023-04-18,2023-04-18,CARTE XX XX XX XX,-74.58,,3862.81
29,2023-04-18,2023-04-18,CARTE XX XX VELOC XX XX,-1.70,,3937.39
260,2023-04-15,2022-04-15,VIREMENT PERMANENT LOYER,-345.00,,3939.09
201,2023-04-14,2023-04-14,CARTE XX XX XX XX XX,-1.60,,4284.09
173,2023-04-14,2023-04-14,CARTE XX XX CHEZ LUC XX,-8.80,,4285.69
7,2023-04-14,2023-04-14,CARTE XX XX XX XX XX,-0.80,,4294.49
137,2023-04-13,2023-04-18,XX XX XX XX XX XX XX,-280.00,,4295.29
244,2023-04-12,2023-04-12,CARTE XX XX XX XX XX,-28.96,,4575.29
272,2023-04-11,2023-04-11,VIREMENT XX XX XX XX XX XX XX,,836.00,4604.25
231,2023-04-11,2023-04-11,CARTE XX XX XX XX XX,-7.56,,3768.25
196,2023-04-11,2023-04-11,VIREMENT XX XX XX XX XX XX XX,,869.44,3775.81
24,2023-04-11,2023-04-11,CARTE XX XX XX XX,-48.00,,2906.37
36,2023-04-10,2023-04-10,CARTE XX XX XX XX XX,-24.00,,3122.95
84,2023-04-10,2023-04-10,VIREMENT XX XX XX XX XX XX,,1.60,3124.55
184,2023-04-10,2023-04-10,CARTE XX XX XX XX,-84.40,,3027.73
107,2023-04-10,2023-04-10,CARTE XX XX CHEZ LUC XX,-12.42,,3112.13
235,2023-04-10,2023-04-10,CARTE XX XX XX XX XX XX,-6.00,,2999.49
188,2023-04-10,2023-04-10,CARTE XX XX XX XX XX,-20.64,,3007.09
193,2023-04-10,2023-04-10,CARTE XX XX XX XX XX XX XX XX XX XX,-1.60,,3005.49
277,2023-04-10,2023-04-10,CARTE XX XX LES ANCIENS ROBINSON XX,-42.42,,2957.07
300,2023-04-10,2023-04-10,CARTE XX XX VELOC XX XX,-2.70,,2954.37
74,2023-04-07,2023-04-07,VIREMENT XX XX XX XX XX XX XX XX XX XX,,992.80,3146.95
249,2023-04-06,2023-04-06,FORFAIT COMPTE SUPERBANK XX XX XX XX,-1.84,,2154.15
236,2023-04-05,2023-04-05,CARTE XX XX XX XX XX,-15.20,,2155.99
215,2023-04-05,2023-04-05,CARTE XX XX XX XX,-12.00,,2171.19
171,2023-04-05,2023-04-05,PRELEVEMENT XX TELEPHONE XX XX,-7.02,,2183.19
165,2023-04-05,2023-04-05,CARTE XX XX LES ANCIENS ROBINSON XX,-6.80,,2190.21
305,2023-04-03,2023-04-03,CARTE XX XX RAPT XX,-24.00,,2197.01
295,2023-04-03,2023-04-03,CARTE XX XX RAPT XX,-73.00,,2221.01
221,2023-04-03,2023-04-03,VIREMENT XX XX XX XX XX XX XX XX XX XX XX XX,,676.00,2294.01
205,2023-04-03,2023-04-03,VIREMENT XX XX XX XX XX XX,,4.80,1618.01
50,2023-04-03,2023-04-03,CARTE XX XX XX XX,-14.39,,1613.21
108,2023-03-31,2023-03-31,DON XX XX XX XX XX XX XX,-1.44,,1627.60
